Wall time,Step,Value
1762091058.7198272,0,0.06416291743516922
1762091099.7344236,1,0.054103411734104156
1762091136.788593,2,0.052978597581386566
1762091169.3418171,3,0.035252783447504044
1762091203.9396243,4,0.055996574461460114
1762091239.4376352,5,0.03555779531598091
1762091279.885814,6,0.05705977976322174
1762091343.605695,7,0.026668362319469452
1762091390.0493736,8,0.05439303442835808
1762091425.668478,9,0.03825513646006584
1762091463.8300936,10,0.05403339862823486
1762091499.5712657,11,0.07667960226535797
1762091547.27474,12,0.05156313255429268
1762091583.370028,13,0.03581088036298752
1762091616.976507,14,0.03691224753856659
1762091651.673184,15,0.04013975337147713
1762091687.2739606,16,0.061139825731515884
1762091722.765232,17,0.04756742715835571
1762091758.7963326,18,0.047628048807382584
1762091798.30205,19,0.05473826080560684
1762091835.3601723,20,0.025459302589297295
1762091873.3328676,21,0.05156313255429268
1762091951.6471758,22,0.047819364815950394
1762091996.8521404,23,0.0564250685274601
1762092032.96644,24,0.051857538521289825
1762092069.511448,25,0.07798071950674057
1762092105.9808304,26,0.05679342523217201
1762092137.8924055,27,0.04524670168757439
1762092174.6867545,28,0.05600529536604881
1762092210.1711497,29,0.051004212349653244
